id,CODCIE10,DescripcionCIE10,Grupo
54,A07,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS,Infecciosas y Parasitarias
55,A070,BALANTIDIASIS,Infecciosas y Parasitarias
56,A071,GIARDIASIS [LAMBLIASIS],Infecciosas y Parasitarias
57,A072,CRIPTOSPORIDIOSIS,Infecciosas y Parasitarias
58,A073,ISOSPORIASIS,Infecciosas y Parasitarias
59,A078,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,Infecciosas y Parasitarias
60,A079,"ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA",Infecciosas y Parasitarias
61,A08,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS,Infecciosas y Parasitarias
62,A080,ENTERITIS DEBIDA A ROTAVIRUS,Infecciosas y Parasitarias
63,A081,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,Infecciosas y Parasitarias
64,A082,ENTERITIS DEBIDA A ADENOVIRUS,Infecciosas y Parasitarias
65,A083,OTRAS ENTERITIS VIRALES,Infecciosas y Parasitarias
66,A084,"INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
67,A085,OTRAS INFECCIONES INTESTINALES ESPECIFICADAS,Infecciosas y Parasitarias
68,A09,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,Infecciosas y Parasitarias
69,A09,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO,Infecciosas y Parasitarias
70,A15,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
71,A150,"TUBERCULOSIS DEL PULMON, CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO",Infecciosas y Parasitarias
72,A151,"TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO",Infecciosas y Parasitarias
73,A152,"TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE",Infecciosas y Parasitarias
74,A153,"TUBERCULOSIS DEL PULMON , CONFIRMADA POR MEDIOS NO ESPECIFICADOS",Infecciosas y Parasitarias
75,A154,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
76,A155,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
77,A156,"PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
78,A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
79,A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
80,A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICAMENTE E HISTOLOGICAMENTE",Infecciosas y Parasitarias
81,A16,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE",Infecciosas y Parasitarias
82,A160,"TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS",Infecciosas y Parasitarias
83,A161,"TUBERCULOSIS DEL PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO",Infecciosas y Parasitarias
84,A162,"TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Infecciosas y Parasitarias
85,A163,"TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Infecciosas y Parasitarias
86,A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Infecciosas y Parasitarias
87,A165,"PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA",Infecciosas y Parasitarias
88,A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA E HISTOLOGICA",Infecciosas y Parasitarias
89,A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION",Infecciosas y Parasitarias
90,A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA",Infecciosas y Parasitarias
91,A17,TUBERCULOSIS DEL SISTEMA NERVIOSO,Infecciosas y Parasitarias
92,A170†,MENINGITIS TUBERCULOSA (G01*),Infecciosas y Parasitarias
93,A171†,TUBERCULOMA MENINGEO (G07*),Infecciosas y Parasitarias
94,A178†,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,Infecciosas y Parasitarias
95,A179†,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA (G99.8*)",Infecciosas y Parasitarias
96,A18,TUBERCULOSIS DE OTROS ORGANOS,Infecciosas y Parasitarias
97,A180†,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,Infecciosas y Parasitarias
98,A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,Infecciosas y Parasitarias
99,A182,LINFADENOPATIA PERIFERICA TUBERCULOSA,Infecciosas y Parasitarias
100,A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTERICOS",Infecciosas y Parasitarias
101,A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO,Infecciosas y Parasitarias
102,A185,TUBERCULOSIS DEL OJO,Infecciosas y Parasitarias
103,A186,TUBERCULOSIS DEL OIDO,Infecciosas y Parasitarias
104,A187†,TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*),Infecciosas y Parasitarias
105,A188,TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS,Infecciosas y Parasitarias
106,A19,TUBERCULOSIS MILIAR,Infecciosas y Parasitarias
107,A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,Infecciosas y Parasitarias
108,A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES,Infecciosas y Parasitarias
109,A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",Infecciosas y Parasitarias
110,A198,OTRAS TUBERCULOSIS MILIARES,Infecciosas y Parasitarias
111,A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
112,A20,PESTE,Infecciosas y Parasitarias
113,A200,PESTE BUBONICA,Infecciosas y Parasitarias
114,A201,PESTE CELULOCUTANEA,Infecciosas y Parasitarias
115,A202,PESTE NEUMONICA,Infecciosas y Parasitarias
116,A203,MENINGITIS POR PESTE,Infecciosas y Parasitarias
117,A207,PESTE SEPTICEMICA,Infecciosas y Parasitarias
118,A208,OTRAS FORMAS DE PESTE,Infecciosas y Parasitarias
119,A209,"PESTE, NO ESPECIFICADA",Infecciosas y Parasitarias
120,A21,TULAREMIA,Infecciosas y Parasitarias
121,A210,TULAREMIA ULCEROGLANDULAR,Infecciosas y Parasitarias
122,A211,TULAREMIA OCULOGLANDULAR,Infecciosas y Parasitarias
123,A212,TULAREMIA PULMONAR,Infecciosas y Parasitarias
124,A213,TULAREMIA GASTROINTESTINAL,Infecciosas y Parasitarias
125,A217,TULAREMIA GENERALIZADA,Infecciosas y Parasitarias
126,A218,OTRAS FORMAS DE TULAREMIA,Infecciosas y Parasitarias
127,A219,"TULAREMIA , NO ESPECIFICADA",Infecciosas y Parasitarias
128,A22,CARBUNCO [ ANTRAX ],Infecciosas y Parasitarias
129,A220,CARBUNCO CUTANEO,Infecciosas y Parasitarias
130,A221,CARBUNCO PULMONAR,Infecciosas y Parasitarias
131,A222,CARBUNCO GASTROINTESTINAL,Infecciosas y Parasitarias
132,A227,CARBUNCO SEPTICEMICO,Infecciosas y Parasitarias
133,A228,OTRAS FORMAS DE CARBUNCO,Infecciosas y Parasitarias
134,A229,"CARBUNCO, NO ESPECIFICADO",Infecciosas y Parasitarias
135,A23,BRUCELOSIS,Infecciosas y Parasitarias
136,A230,BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS,Infecciosas y Parasitarias
137,A231,BRUCELOSIS DEBIDA A BRUCELLA ABORTUS,Infecciosas y Parasitarias
138,A232,BRUCELOSIS DEBIDA A BRUCELLA SUIS,Infecciosas y Parasitarias
139,A233,BRUCELOSIS DEBIDA A BRUCELLA CANIS,Infecciosas y Parasitarias
140,A238,OTRAS BRUCELOSIS,Infecciosas y Parasitarias
141,A239,"BRUCELOSIS, NO ESPECIFICADA",Infecciosas y Parasitarias
142,A24,MUERMO Y MELIOIDOSIS,Infecciosas y Parasitarias
143,A240,MUERMO,Infecciosas y Parasitarias
144,A241,MELIOIDOSIS AGUDA Y FULMINANTE,Infecciosas y Parasitarias
145,A242,MELIOIDOSIS SUBAGUDA Y CRONICA,Infecciosas y Parasitarias
146,A243,OTRAS MELIOIDOSIS,Infecciosas y Parasitarias
147,A244,"MELIOIDOSIS , NO ESPECIFICADA",Infecciosas y Parasitarias
148,A25,FIEBRE POR MORDEDURA DE RATA,Infecciosas y Parasitarias
149,A250,ESPIRILOSIS,Infecciosas y Parasitarias
150,A251,ESTREPTOBACILOSIS,Infecciosas y Parasitarias
151,A259,"FIEBRE POR MORDEDURA DE RATA, NO ESPECIFICADA",Infecciosas y Parasitarias
152,A26,ERISIPELOIDE,Infecciosas y Parasitarias
153,A260,ERISIPELOIDE CUTANEO,Infecciosas y Parasitarias
154,A267,SEPTICEMIA POR ERYSIPELOTHRIX,Infecciosas y Parasitarias
155,A268,OTRAS FORMAS DE ERISIPELOIDE,Infecciosas y Parasitarias
156,A269,"ERISIPELOIDE, NO ESPECIFICADA",Infecciosas y Parasitarias
157,A27,LEPTOSPIROSIS,Infecciosas y Parasitarias
158,A270,LEPTOSPIROSIS ICTEROHEMORRAGICA,Infecciosas y Parasitarias
159,A278,OTRAS FORMAS DE LEPTOSPIROSIS,Infecciosas y Parasitarias
160,A279,"LEPTOSPIROSIS, NO ESPECIFICADA",Infecciosas y Parasitarias
161,A28,OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,Infecciosas y Parasitarias
162,A280,PASTEURELOSIS,Infecciosas y Parasitarias
163,A281,ENFERMEDAD POR RASGUÑO DE GATO,Infecciosas y Parasitarias
164,A282,YERSINIOSIS EXTRAINTESTINAL,Infecciosas y Parasitarias
165,A288,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS, NO CLASIFICADAS EN OTRA PARTE",Infecciosas y Parasitarias
166,A289,"ENFERMEDAD ZOONOTICA BACTERIANA, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
167,A30,LEPRA [ ENFERMEDAD DE HANSEN ],Infecciosas y Parasitarias
168,A300,LEPRA INDETERMINADA,Infecciosas y Parasitarias
169,A301,LEPRA TUBERCULOIDE,Infecciosas y Parasitarias
170,A302,LEPRA TUBERCULOIDE LIMITROFE,Infecciosas y Parasitarias
171,A303,LEPRA LIMITROFE,Infecciosas y Parasitarias
172,A304,LEPRA LEPROMATOSA LIMITROFE,Infecciosas y Parasitarias
173,A305,LEPRA LEPROMATOSA,Infecciosas y Parasitarias
174,A308,OTRAS FORMAS DE LEPRA,Infecciosas y Parasitarias
175,A309,"LEPRA, NO ESPECIFICADA",Infecciosas y Parasitarias
176,A31,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS,Infecciosas y Parasitarias
177,A310,INFECCIONES POR MICOBACTERIAS PULMONARES,Infecciosas y Parasitarias
178,A311,INFECCION CUTANEA POR MICOBACTERIAS,Infecciosas y Parasitarias
179,A318,OTRAS INFECCIONES POR MICOBACTERIAS,Infecciosas y Parasitarias
180,A319,"INFECCION POR MICOBACTERIA, NO ESPECIFICADA",Infecciosas y Parasitarias
181,A32,LISTERIOSIS,Infecciosas y Parasitarias
182,A320,LISTERIOSIS CUTANEA,Infecciosas y Parasitarias
183,A321†,MENINGITIS Y MENINGOENCEFALITIS LISTERIANA,Infecciosas y Parasitarias
184,A327,SEPTICEMIA LISTERIANA,Infecciosas y Parasitarias
185,A328,OTRAS FORMAS DE LISTERIOSIS,Infecciosas y Parasitarias
186,A329,"LISTERIOSIS, NO ESPECIFICADA",Infecciosas y Parasitarias
187,A33,TETANOS NEONATAL,Infecciosas y Parasitarias
188,A33,TETANOS NEONATAL,Infecciosas y Parasitarias
189,A34,TETANOS OBSTETRICO,Infecciosas y Parasitarias
190,A34,TETANOS OBSTETRICO,Infecciosas y Parasitarias
191,A35,OTROS TETANOS,Infecciosas y Parasitarias
192,A35,OTROS TETANOS,Infecciosas y Parasitarias
193,A36,DIFTERIA,Infecciosas y Parasitarias
194,A360,DIFTERIA FARINGEA,Infecciosas y Parasitarias
195,A361,DIFTERIA NASOFARINGEA,Infecciosas y Parasitarias
196,A362,DIFTERIA LARINGEA,Infecciosas y Parasitarias
197,A363,DIFTERIA CUTANEA,Infecciosas y Parasitarias
198,A368,OTRAS DIFTERIAS,Infecciosas y Parasitarias
199,A369,"DIFTERIA, NO ESPECIFICADA",Infecciosas y Parasitarias
200,A37,TOS FERINA [ TOS CONVULSIVA ],Infecciosas y Parasitarias
201,A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,Infecciosas y Parasitarias
202,A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,Infecciosas y Parasitarias
203,A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,Infecciosas y Parasitarias
204,A379,"TOS FERINA, NO ESPECIFICADA",Infecciosas y Parasitarias
205,A38,ESCARLATINA,Infecciosas y Parasitarias
206,A38,ESCARLATINA,Infecciosas y Parasitarias
207,A39,INFECCION MENINGOCOCICA,Infecciosas y Parasitarias
208,A390†,MENINGITIS MENINGOCOCICA (G01*),Infecciosas y Parasitarias
209,A391†,SINDROME DE WATERHOUSE-FRIDERICHSEN (E35.1*),Infecciosas y Parasitarias
210,A392,MENINGOCOCEMIA AGUDA,Infecciosas y Parasitarias
211,A393,MENINGOCOCEMIA CRONICA,Infecciosas y Parasitarias
212,A394,"MENINGOCOCEMIA, NO ESPECIFICADA",Infecciosas y Parasitarias
213,A395†,ENFERMEDAD CARDIACA DEBIDA A MENINGOCOCO,Infecciosas y Parasitarias
214,A398,OTRAS INFECCIONES MENINGOCOCICAS,Infecciosas y Parasitarias
215,A399,"INFECCION MENINGOCOCICA, NO ESPECIFICADA",Infecciosas y Parasitarias
216,A40,SEPTICEMIA ESTREPTOCOCICA,Infecciosas y Parasitarias
217,A400,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO A",Infecciosas y Parasitarias
218,A401,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO B",Infecciosas y Parasitarias
219,A402,"SEPTICEMIA DEBIDA A ESTREPTOCOCO, GRUPO D",Infecciosas y Parasitarias
220,A403,SEPTICEMIA DEBIDA A STREPTOCOCCUS PNEUMONIAE,Infecciosas y Parasitarias
221,A408,OTRAS SEPTICEMIAS ESTREPTOCOCICAS,Infecciosas y Parasitarias
222,A409,"SEPTICEMIA ESTREPTOCOCICA, NO ESPECIFICADA",Infecciosas y Parasitarias
223,A41,OTRAS SEPTICEMIAS,Infecciosas y Parasitarias
224,A410,SEPTICEMIA DEBIDA STAPHYLOCOCCUS AUREUS,Infecciosas y Parasitarias
225,A411,SEPTICEMIA DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,Infecciosas y Parasitarias
226,A412,SEPTICEMIA DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,Infecciosas y Parasitarias
227,A413,SEPTICEMIA DEBIDA A HAEMOPHILUS INFLUENZAE,Infecciosas y Parasitarias
228,A414,SEPTICEMIA DEBIDA A ANAEROBIOS,Infecciosas y Parasitarias
229,A415,SEPTICEMIA DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,Infecciosas y Parasitarias
230,A418,OTRAS SEPTICEMIAS ESPECIFICADAS,Infecciosas y Parasitarias
231,A419,"SEPTICEMIA, NO ESPECIFICADA",Infecciosas y Parasitarias
232,A42,ACTINOMICOSIS,Infecciosas y Parasitarias
233,A420,ACTINOMICOSIS PULMONAR,Infecciosas y Parasitarias
234,A421,ACTINOMICOSIS ABDOMINAL,Infecciosas y Parasitarias
235,A422,ACTINOMICOSIS CERVICOFACIAL,Infecciosas y Parasitarias
236,A427,SEPTICEMIA ACTINOMICOTICA,Infecciosas y Parasitarias
237,A428,OTRAS FORMAS DE ACTINOMICOSIS,Infecciosas y Parasitarias
238,A429,"ACTINOMICOSIS, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
239,A43,NOCARDIOSIS,Infecciosas y Parasitarias
240,A430,NOCARDIOSIS PULMONAR,Infecciosas y Parasitarias
241,A431,NOCARDIOSIS CUTANEA,Infecciosas y Parasitarias
242,A438,OTRAS FORMAS DE NOCARDIOSIS,Infecciosas y Parasitarias
243,A439,"NORCARDIOSIS , NO ESPECIFICADA",Infecciosas y Parasitarias
244,A44,BARTONELOSIS,Infecciosas y Parasitarias
245,A440,BARTONELOSIS SISTEMICA,Infecciosas y Parasitarias
246,A441,BARTONELOSIS CUTANEA Y MUCOCUTANEA,Infecciosas y Parasitarias
247,A448,OTRAS FORMAS DE BARTONELOSIS,Infecciosas y Parasitarias
248,A449,"BARTONELOSIS, NO ESPECIFICADA",Infecciosas y Parasitarias
249,A46,ERISIPELA,Infecciosas y Parasitarias
250,A46,ERISIPELA,Infecciosas y Parasitarias
251,A48,OTRAS ENFERMEDADES BACTERIANAS NO CLASIFICADAS EN OTRA PARTE,Infecciosas y Parasitarias
252,A480,GANGRENA GASEOSA,Infecciosas y Parasitarias
253,A481,ENFERMEDAD DE LOS LEGIONARIOS,Infecciosas y Parasitarias
254,A482,ENFERMEDAD DE LOS LEGIONARIOS NO NEUMONICA [FIEBRE DE PONTIAC],Infecciosas y Parasitarias
255,A483,SINDROME DE CHOQUE TOXICO,Infecciosas y Parasitarias
256,A484,FIEBRE PURPURICA BRASILEÑA,Infecciosas y Parasitarias
257,A488,OTRAS ENFERMEDADES BACTERIANAS ESPECIFICADAS,Infecciosas y Parasitarias
258,A49,INFECCION BACTERIANA DE SITIO NO ESPECIFICADO,Infecciosas y Parasitarias
259,A490,"INFECCION ESTAFILOCOCICA, SIN OTRA ESPECIFICACIÓN",Infecciosas y Parasitarias
260,A491,"INFECCION ESTREPTOCOCICA, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
261,A492,"INFECCION POR HAEMOPHILUS INFLUENZAE, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
262,A493,"INFECCION POR MICOPLASMA, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
263,A498,OTRAS INFECCIONES BACTERIANAS DE SITIO NO ESPECIFICADO,Infecciosas y Parasitarias
264,A499,"INFECCION BACTERIANA, NO ESPECIFICADA",Infecciosas y Parasitarias
265,A50,SIFILIS CONGENITA,Infecciosas y Parasitarias
266,A500,"SIFILIS CONGENITA PRECOZ, SINTOMATICA",Infecciosas y Parasitarias
267,A501,"SIFILIS CONGENITA PRECOZ, LATENTE",Infecciosas y Parasitarias
268,A502,SIFILIS CONGENITA PRECOZ SIN OTRA ESPECIFICACIÓN,Infecciosas y Parasitarias
269,A503,OCULOPATIA SIFILITICA CONGENITA TARDIA,Infecciosas y Parasitarias
270,A504,NEUROSIFILIS CONGENITA TARDIA [NEUROSIFILIS JUVENIL],Infecciosas y Parasitarias
271,A505,"OTRAS FORMAS DE SIFILIS CONGENITA TARDIA, SINTOMATICA",Infecciosas y Parasitarias
272,A506,"SIFILIS CONGENITA TARDIA, LATENTE",Infecciosas y Parasitarias
273,A507,"SIFILIS CONGENITA TARDIA, SIN OTRA ESPECIFICACION",Infecciosas y Parasitarias
274,A509,"SIFILIS CONGENITA, SIN OTRA ESPECIFICACIÓN",Infecciosas y Parasitarias
275,A51,SIFILIS PRECOZ,Infecciosas y Parasitarias
276,A510,SIFILIS GENITAL PRIMARIA,Infecciosas y Parasitarias
277,A511,SIFILIS PRIMARIA ANAL,Infecciosas y Parasitarias
278,A512,SIFILIS PRIMARIA EN OTROS SITIOS,Infecciosas y Parasitarias
279,A513,SIFILIS SECUNDARIA DE PIEL Y MEMBRANAS MUCOSAS,Infecciosas y Parasitarias
280,A514,OTRAS SIFILIS SECUNDARIAS,Infecciosas y Parasitarias
281,A515,"SIFILIS PRECOZ, LATENTE",Infecciosas y Parasitarias
282,A519,"SIFILIS PRECOZ, SIN OTRA ESPECIFICACIÓN",Infecciosas y Parasitarias
283,A52,SIFILIS TARDIA,Infecciosas y Parasitarias
284,A520†,SIFILIS CARDIOVASCULAR,Infecciosas y Parasitarias
285,A521,NEUROSIFILIS SINTOMATICA,Infecciosas y Parasitarias
286,A522,NEUROSIFILIS ASINTOMATICA,Infecciosas y Parasitarias
287,A523,NEUROSIFILIS NO ESPECIFICADA,Infecciosas y Parasitarias
288,A527,OTRAS SIFILIS TARDIAS SINTOMATICAS,Infecciosas y Parasitarias
289,A528,"SIFILIS TARDIA, LATENTE",Infecciosas y Parasitarias
290,A529,"SIFILIS TARDIA, NO ESPECIFICADA",Infecciosas y Parasitarias
291,A53,OTRAS SIFILIS Y LAS NO ESPECIFICADAS,Infecciosas y Parasitarias
292,A530,"SIFILIS LATENTE, NO ESPECIFICADA COMO PRECOZ O TARDIA",Infecciosas y Parasitarias
293,A539,"SIFILIS, NO ESPECIFICADA",Infecciosas y Parasitarias
294,A54,INFECCION GONOCOCICA,Infecciosas y Parasitarias
295,A540,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR SIN ABSCESO PERIURETRAL O DE GLANDULA ACCESORIA,Infecciosas y Parasitarias
296,A541,INFECCION GONOCOCICA DEL TRACTO GENITOURINARIO INFERIOR CON ABSCESO PERIURETRAL Y DE GLANDULAS ACCESORIAS,Infecciosas y Parasitarias
297,A542†,PELVIPERITONITIS GONOCOCICA Y OTRAS INFECCIONES GONOCOCICAS GENITOURINARIAS,Infecciosas y Parasitarias
